Date,Opening Price,Maximum Price,Minimum Price,Closing Price
26.09.2018,114710,114730,114700,114720
26.09.2018,114710,114760,114710,114730
26.09.2018,114730,114730,114700,114710
26.09.2018,114710,114710,114650,114660
26.09.2018,114650,114680,114640,114660
26.09.2018,114660,114670,114650,114670
26.09.2018,114660,114690,114660,114680
26.09.2018,114690,114720,114690,114700
26.09.2018,114680,114680,114650,114660
26.09.2018,114670,114690,114660,114670
26.09.2018,114670,114720,114660,114700
26.09.2018,114710,114750,114710,114710
26.09.2018,114710,114720,114710,114720
26.09.2018,114720,114750,114720,114720
26.09.2018,114720,114740,114720,114720
26.09.2018,114730,114740,114680,114700
26.09.2018,114700,114720,114700,114720
26.09.2018,114710,114740,114710,114720
26.09.2018,114730,114740,114700,114700
26.09.2018,114700,114720,114700,114720
26.09.2018,114720,114730,114710,114720
26.09.2018,114730,114740,114720,114740
26.09.2018,114730,114730,114720,114720
26.09.2018,114740,114740,114720,114720
26.09.2018,114720,114720,114720,114720
26.09.2018,114740,114740,114720,114720
26.09.2018,114740,114750,114710,114710
26.09.2018,114730,114730,114720,114720
26.09.2018,114740,114750,114740,114750
26.09.2018,114750,114750,114710,114710
26.09.2018,114710,114740,114710,114730
26.09.2018,114740,114740,114720,114730
26.09.2018,114720,114730,114700,114730
26.09.2018,114740,114740,114730,114730
26.09.2018,114730,114750,114730,114740
26.09.2018,114740,114740,114720,114740
26.09.2018,114730,114770,114730,114740
26.09.2018,114750,114780,114750,114780
26.09.2018,114780,114820,114780,114800
26.09.2018,114800,114800,114780,114800
26.09.2018,114780,114830,114780,114810
26.09.2018,114820,114840,114820,114840
26.09.2018,114830,114840,114820,114820
26.09.2018,114830,114860,114820,114850
26.09.2018,114840,114850,114830,114830
26.09.2018,114840,114860,114820,114820
26.09.2018,114820,114840,114820,114840
26.09.2018,114840,114840,114820,114820
26.09.2018,114830,114830,114820,114820
26.09.2018,114830,114850,114830,114850
26.09.2018,114850,114850,114830,114840
26.09.2018,114840,114850,114810,114810
26.09.2018,114810,114810,114770,114770
26.09.2018,114780,114780,114750,114750
26.09.2018,114740,114790,114740,114790
26.09.2018,114790,114800,114760,114760
26.09.2018,114770,114780,114760,114780
26.09.2018,114780,114790,114750,114770
26.09.2018,114760,114780,114760,114780
26.09.2018,114770,114780,114760,114780
26.09.2018,114780,114800,114770,114790
26.09.2018,114780,114800,114780,114780
26.09.2018,114800,114820,114800,114820
26.09.2018,114810,114810,114790,114790
26.09.2018,114790,114820,114790,114820
26.09.2018,114790,114790,114760,114760
26.09.2018,114770,114790,114740,114770
26.09.2018,114760,114770,114720,114720
26.09.2018,114720,114770,114710,114770
26.09.2018,114770,114780,114770,114780
26.09.2018,114780,114780,114750,114750
26.09.2018,114740,114750,114740,114740
26.09.2018,114750,114770,114750,114760
26.09.2018,114760,114790,114760,114780
26.09.2018,114770,114790,114770,114780
26.09.2018,114770,114790,114770,114770
26.09.2018,114760,114760,114740,114740
26.09.2018,114730,114760,114720,114750
26.09.2018,114760,114770,114750,114770
26.09.2018,114750,114770,114730,114740
26.09.2018,114740,114750,114720,114730
26.09.2018,114730,114770,114720,114770
26.09.2018,114760,114760,114750,114750
26.09.2018,114760,114790,114750,114760
26.09.2018,114750,114750,114730,114750
26.09.2018,114760,114760,114730,114740
26.09.2018,114730,114740,114720,114730
26.09.2018,114740,114780,114740,114770
26.09.2018,114760,114780,114750,114760
26.09.2018,114750,114770,114740,114760
26.09.2018,114750,114790,114750,114790
26.09.2018,114790,114790,114770,114770
26.09.2018,114760,114760,114740,114740
26.09.2018,114750,114750,114740,114750
26.09.2018,114780,114780,114750,114770
26.09.2018,114780,114800,114780,114790
26.09.2018,114790,114800,114790,114790
26.09.2018,114790,114790,114770,114790
26.09.2018,114800,114820,114780,114820
26.09.2018,114820,114820,114790,114790
26.09.2018,114790,114820,114790,114800
26.09.2018,114810,114820,114800,114800
26.09.2018,114800,114820,114790,114810
26.09.2018,114820,114830,114780,114780
26.09.2018,114790,114800,114730,114760
26.09.2018,114760,114970,114740,114950
26.09.2018,114950,115050,114830,115050
26.09.2018,115050,115240,115040,115220
26.09.2018,115240,115340,115170,115340
26.09.2018,115330,115410,115250,115310
26.09.2018,115310,115390,115310,115330
26.09.2018,115330,115430,115180,115230
26.09.2018,115210,115280,115190,115210
26.09.2018,115210,115240,115110,115120
26.09.2018,115110,115160,115040,115150
26.09.2018,115150,115270,115140,115210
26.09.2018,115210,115220,115120,115180
26.09.2018,115170,115230,115080,115190
26.09.2018,115190,115200,115080,115200
26.09.2018,115200,115230,115100,115130
26.09.2018,115140,115200,115100,115140
26.09.2018,115140,115200,115130,115160
26.09.2018,115160,115220,115160,115180
26.09.2018,115200,115210,115150,115150
26.09.2018,115160,115230,115150,115180
26.09.2018,115180,115210,115120,115130
26.09.2018,115120,115130,115070,115080
26.09.2018,115080,115200,115080,115150
26.09.2018,115150,115170,115110,115110
26.09.2018,115120,115150,115010,115050
26.09.2018,115050,115100,115010,115030
26.09.2018,115040,115040,115010,115040
26.09.2018,115030,115060,115000,115010
26.09.2018,115020,115030,114950,114960
26.09.2018,114960,115000,114950,114970
26.09.2018,114970,115050,114970,115010
26.09.2018,115020,115060,115020,115040
26.09.2018,115030,115100,115030,115060
26.09.2018,115060,115070,115020,115040
26.09.2018,115020,115060,114990,114990
26.09.2018,115000,115040,115000,115020
26.09.2018,115010,115050,114810,114850
26.09.2018,114870,114930,114840,114850
26.09.2018,114850,114930,114850,114930
26.09.2018,114930,114940,114850,114920
26.09.2018,114910,114910,114830,114850
26.09.2018,114840,114870,114790,114860
26.09.2018,114870,114880,114770,114780
26.09.2018,114790,114810,114670,114710
26.09.2018,114730,114750,114670,114730
26.09.2018,114730,114740,114670,114670
26.09.2018,114670,114690,114550,114580
26.09.2018,114590,114670,114580,114640
26.09.2018,114620,114720,114610,114720
26.09.2018,114720,114750,114660,114700
26.09.2018,114700,114800,114650,114750
26.09.2018,114740,114740,114660,114670
26.09.2018,114650,114660,114580,114630
26.09.2018,114640,114670,114630,114670
26.09.2018,114670,114710,114640,114710
26.09.2018,114700,114730,114640,114710
26.09.2018,114720,114790,114710,114770
26.09.2018,114760,114790,114730,114750
26.09.2018,114750,114800,114740,114780
26.09.2018,114790,114870,114780,114830
26.09.2018,114820,114840,114790,114830
26.09.2018,114820,114840,114740,114770
26.09.2018,114770,114820,114760,114790
26.09.2018,114800,114810,114780,114780
26.09.2018,114780,114820,114750,114760
26.09.2018,114760,114770,114690,114710
26.09.2018,114710,114710,114600,114610
26.09.2018,114610,114650,114580,114610
26.09.2018,114620,114650,114590,114630
26.09.2018,114630,114760,114630,114690
26.09.2018,114690,114720,114680,114710
26.09.2018,114710,114720,114610,114620
26.09.2018,114620,114620,114570,114580
26.09.2018,114580,114650,114580,114650
26.09.2018,114660,114660,114610,114620
26.09.2018,114630,114640,114610,114630
26.09.2018,114640,114690,114640,114670
26.09.2018,114660,114700,114660,114680
26.09.2018,114700,114720,114690,114720
26.09.2018,114720,114730,114700,114730
26.09.2018,114730,114730,114680,114710
26.09.2018,114720,114750,114690,114750
26.09.2018,114740,114760,114730,114760
26.09.2018,114760,114760,114710,114720
26.09.2018,114720,114740,114710,114740
26.09.2018,114720,114740,114700,114710
26.09.2018,114720,114780,114720,114740
